,title,area,height,dic,year,cost,price,chamber,hall,layers,addr_district,addr_detail,price_cor
2956,新阳光健康家园,143.97,高,南向,2014,252.5,17538,3,1,9,贝森,苏坡东路7号,17538.37605056609
3481,金沙鹭岛一期,143.0,高,南北向,2011,400.0,27972,4,2,27,内金沙,金沙鹭岛一期金沙遗址路55号,27972.027972027972
3514,西子香荷,143.0,高,南向,2010,318.0,22237,4,2,33,内光华,琼楼路99号,22237.76223776224
3710,金沙鹭岛一期,143.0,中,西南向,2010,385.0,26923,4,2,27,内金沙,金沙鹭岛一期金沙遗址路55号,26923.076923076926
3268,金沙鹭岛一期,143.0,中,西南向,2010,385.0,26923,4,2,27,内金沙,金沙鹭岛一期金沙遗址路55号,26923.076923076926
4274,合能西贵金沙,143.0,中,南北向,2012,385.0,26923,4,2,12,内金沙,金沙遗址路88号,26923.076923076926
4318,合能西贵金沙,143.0,中,南北向,2012,385.0,26923,4,2,12,内金沙,金沙遗址路88号,26923.076923076926
4301,金沙鹭岛一期,143.0,低,南北向,2010,360.0,25174,4,2,27,内金沙,金沙遗址路55号,25174.825174825175
3626,优品道一期,144.19,低,南北向,2012,365.0,25313,4,2,9,贝森,青羊大道99号,25313.82204036341
4464,优品道一期,144.19,低,南北向,2012,365.0,25313,4,2,9,贝森,青羊大道99号,25313.82204036341
4470,优品道一期,144.19,低,南北向,2012,365.0,25313,4,2,9,贝森,青羊大道99号,25313.82204036341
1686,二十一世纪花园三期,144.37,中,南向,2003,240.0,16623,3,2,7,贝森,贝森路111号,16623.952344669946
3138,二十一世纪花园三期,144.37,中,南向,2003,240.0,16623,3,2,7,贝森,贝森路111号,16623.952344669946
1859,二十一世纪花园三期,144.37,中,南向,2003,240.0,16623,3,2,7,贝森,贝森路111号,16623.952344669946
174,金沙芙蓉苑,144.51,中,东南向,2014,300.0,20759,3,2,6,内金沙,金鹏街50号,20759.809009757115
2473,金沙芙蓉苑,144.51,中,东南向,2014,300.0,20759,3,2,6,内金沙,金鹏街50号,20759.809009757115
4197,上品金沙,144.66,低,南向,2015,363.0,25093,3,2,12,内金沙,上品金沙,25093.322272915804
3947,上品金沙,144.66,低,南向,2015,363.0,25093,3,2,12,内金沙,上品金沙,25093.322272915804
1010,金沙愉景一期,144.91,低,西南向,2007,308.0,21254,4,2,11,外金沙,清波路390号,21254.571803188184
93,金沙愉景一期,144.91,高,西南向,2007,260.0,17942,3,2,11,外金沙,清波路390号,17942.171002691324
1085,金沙愉景一期,144.91,高,西南向,2007,260.0,17942,3,2,11,外金沙,清波路390号,17942.171002691324
2540,铸信境界,144.0,中,东向,2009,280.0,19444,3,1,27,贝森,贝森路323号,19444.444444444445
3562,成都花园上城,144.0,高,南北向,2009,368.0,25555,3,2,22,贝森,成都花园上城家园南街1号,25555.555555555555
3516,华府金沙,144.0,高,南北向,2014,410.0,28472,4,2,32,内金沙,华府金沙蜀源路1号(金沙西单商场旁),28472.222222222223
4420,优品道一期,144.0,低,南北向,2012,365.0,25347,3,2,11,贝森,青羊大道99号,25347.222222222223
3657,华府金沙,144.0,高,南北向,2014,410.0,28472,4,2,32,内金沙,华府金沙蜀源路1号(金沙西单商场旁),28472.222222222223
4690,合能西贵金沙,144.0,中,南向,2012,330.0,22916,4,1,27,内金沙,合能西贵金沙金沙遗址路88号,22916.666666666664
4715,米兰香洲,144.0,高,西南向,2007,267.0,18541,4,2,18,外金沙,滨河路104号(苏坡立交旁),18541.666666666668
3043,铸信境界,144.0,中,东向,2009,280.0,19444,3,1,27,贝森,贝森路323号,19444.444444444445
3467,富力丽思国际公馆,145.03,高,东南向,2012,218.0,15031,3,2,32,顺城街,富力丽思国际公馆顺城大街289号,15031.372819416672
3759,富力丽思国际公馆,145.03,高,东南向,2012,218.0,15031,3,2,32,顺城街,富力丽思国际公馆顺城大街289号,15031.372819416672
4024,龙景花园,145.12,中,东南向,2006,490.0,33765,3,2,5,浣花小区,百卉路21号,33765.1598676957
4415,成都花园翠雍华庭,145.3,中,西南向,2003,298.0,20509,4,2,11,贝森,青羊大道8号,20509.29112181693
4254,成都花园翠雍华庭,145.3,中,西南向,2003,298.0,20509,4,2,11,贝森,青羊大道8号,20509.29112181693
3575,成都花园翠雍华庭,145.3,中,西南向,2003,298.0,20509,4,2,11,贝森,青羊大道8号,20509.29112181693
1904,金沙西园四期,145.43,低,南北向,2009,408.0,28054,4,2,26,内金沙,金沙西园四期金鹏街109号,28054.73423640239
3990,金沙西园三期,145.4,低,南向,2020,390.0,26822,3,2,24,内金沙,金阳路112号,26822.558459422282
3877,潮蓉花园,145.55,低,东北向,2000,209.0,14359,3,2,11,府南新区,同善桥南街6号,14359.326691858467
3740,融创观玺台,145.66,中,东西向,2018,400.0,27461,4,2,20,内光华,西货站路207号(青羊万达旁),27461.211039406837
3851,融创观玺台,145.66,中,东西向,2018,400.0,27461,4,2,20,内光华,西货站路207号(青羊万达旁),27461.211039406837
3011,潮蓉花园,145.74,高,东南向,2000,219.0,15026,3,1,11,府南新区,同善桥南街6号,15026.759983532316
1493,潮蓉花园,145.74,高,东南向,2000,219.0,15026,3,1,11,府南新区,同善桥南街6号,15026.759983532316
3355,龙景花园,145.75,低,东向,2006,480.0,32933,3,2,5,浣花小区,百卉路21号,32933.10463121784
4252,龙景花园,145.75,低,东向,2006,480.0,32933,3,2,5,浣花小区,百卉路21号,32933.10463121784
2806,博瑞都市花园,145.7,高,东西向,2003,300.0,20590,3,2,6,贝森,青羊大道101号,20590.253946465342
4412,成勘院电梯公寓,145.0,低,南向,2006,270.0,18620,4,2,16,浣花小区,清江东路186号,18620.689655172413
4330,成勘院电梯公寓,145.0,低,南向,2006,270.0,18620,4,2,16,浣花小区,清江东路186号,18620.689655172413
3779,中鹏花园C区,145.0,高,东南向,1998,167.0,11517,5,2,6,外光华,苏坡中路48号,11517.241379310346
4744,融创观玺台,145.0,中,南北向,2018,600.0,41379,4,2,23,内光华,西货站路207号(青羊万达旁),41379.31034482759
4302,金沙西园三期,145.0,中,南北向,2012,385.0,26551,4,2,20,内金沙,金阳路112号,26551.724137931036
893,卧龙晓城,146.43,低,南向,2003,215.0,14682,3,2,10,贝森,青羊大道288号,14682.783582599193
4436,香榭名苑,146.66,高,东南向,2002,240.0,16364,3,1,7,府南新区,同善桥南街9号,16364.38019909996
669,香榭名苑,146.66,中,东南向,2002,240.0,16364,3,2,7,府南新区,香榭名苑同善桥南街9号,16364.38019909996
4131,78号观邸,146.69,低,南北向,2007,390.0,26586,5,2,32,天府广场,锦里西路78号,26586.679391914924
